GE;PE;CL;AV;planta;nota;Y
Bianchi;tangerina_cleopatra;21;6;7;0;0
Bianchi;tangerina_cleopatra;21;6;8;0;0
Bianchi;tangerina_cleopatra;21;6;9;0;0
Bianchi;tangerina_cleopatra;21;6;10;0;0
IAC_2000;tangerina_cleopatra;22;2;1;0;0
IAC_2000;tangerina_cleopatra;22;2;2;0;0
IAC_2000;tangerina_cleopatra;22;2;3;1,5;0,257
IAC_2000;tangerina_cleopatra;22;2;4;0,5;0,067
IAC_2000;tangerina_cleopatra;22;2;5;0,5;0,026
IAC_2000;tangerina_cleopatra;22;2;6;0;0
IAC_2000;tangerina_cleopatra;22;2;7;0;0
IAC_2000;tangerina_cleopatra;22;2;8;0;0
IAC_2000;tangerina_cleopatra;22;2;9;0;0
IAC_2000;tangerina_cleopatra;22;2;10;0;0
IAC_2000;tangerina_cleopatra;22;3;1;0,5;0,02
IAC_2000;tangerina_cleopatra;22;3;2;0,5;0,125
IAC_2000;tangerina_cleopatra;22;3;3;1,5;0,311
IAC_2000;tangerina_cleopatra;22;3;4;0,5;0,098
IAC_2000;tangerina_cleopatra;22;3;5;0,5;0,043
IAC_2000;tangerina_cleopatra;22;3;6;0;0
IAC_2000;tangerina_cleopatra;22;3;7;0;0
IAC_2000;tangerina_cleopatra;22;3;8;0;0
IAC_2000;tangerina_cleopatra;22;3;9;0;0
IAC_2000;tangerina_cleopatra;22;3;10;0;0
IAC_2000;tangerina_cleopatra;22;4;1;0;0
IAC_2000;tangerina_cleopatra;22;4;2;0;0
IAC_2000;tangerina_cleopatra;22;4;3;0;0
IAC_2000;tangerina_cleopatra;22;4;4;0;0
IAC_2000;tangerina_cleopatra;22;4;5;0;0
IAC_2000;tangerina_cleopatra;22;4;6;0;0
IAC_2000;tangerina_cleopatra;22;4;7;0,1;0,02
IAC_2000;tangerina_cleopatra;22;4;8;0,1;0,12
IAC_2000;tangerina_cleopatra;22;4;9;0;0
IAC_2000;tangerina_cleopatra;22;4;10;0;0
IAC_2000;tangerina_cleopatra;22;5;1;0;0
IAC_2000;tangerina_cleopatra;22;5;2;0;0
IAC_2000;tangerina_cleopatra;22;5;3;0;0
IAC_2000;tangerina_cleopatra;22;5;4;0;0
IAC_2000;tangerina_cleopatra;22;5;5;0;0
IAC_2000;tangerina_cleopatra;22;5;6;0,1;0,083
IAC_2000;tangerina_cleopatra;22;5;7;0,6;0,333
